,n_neighbors,score
0,1,5.156855469518304
1,2,2.335507976298321
2,3,1.568124815167911
3,4,1.0668259054926046
4,5,0.7948556171733041
5,6,0.6217112006887602
6,7,0.488599177696098
7,8,0.4479872829991048
8,9,0.4040995265436739
9,10,0.40185724194171607
10,11,0.403275350533455
11,12,0.3588691638982396
12,13,0.3600037876306137
13,14,0.36266155640363945
14,15,0.36414894247599333
15,16,0.32322949990424826
16,17,0.32508649595145256
17,18,0.3267740942227648
18,19,0.2835571811597638
19,20,0.2413514245096039
20,21,0.24183567268389375
21,22,0.24289236775184006
22,23,0.24214352992396457
23,24,0.24273116490072225
