,C,score
0,0.8613131313131313,0.6603918316937271
1,0.24757575757575756,0.6602316144395947
2,0.10898989898989898,0.6603316042446934
3,0.06939393939393938,0.6607395471911346
4,0.15848484848484848,0.6604505517843631
5,0.9009090909090909,0.6602824698213486
6,0.37626262626262624,0.6603933881727021
7,0.5346464646464646,0.660486853138325
8,0.059494949494949496,0.6608216235986891
9,0.6732323232323232,0.6603861038201492
10,0.23767676767676768,0.660242824689912
11,0.7227272727272727,0.6606447109102215
12,0.1386868686868687,0.6603256002173089
13,0.059494949494949496,0.66042561002939
14,0.2772727272727273,0.6603850016079096
