,n_neighbors,score
0,1,4.540549299616539
1,2,2.3996942723576073
2,3,1.8621703778327892
3,4,1.4985357801565706
4,5,1.3201253970176634
5,6,1.0975370388880674
6,7,1.101109606354538
7,8,1.0568836105421548
8,9,1.0123334508937087
9,10,0.9696296913172704
10,11,0.9717412416186223
11,12,0.9734485535884604
12,13,0.9753458795366976
13,14,0.9334289110302696
14,15,0.8918797460410567
15,16,0.8058871082041229
16,17,0.8065908820908474
17,18,0.8063397288044948
18,19,0.8058628595324236
19,20,0.806913542861059
20,21,0.7656957852218808
21,22,0.7243716709245801
22,23,0.7254558453346595
23,24,0.7247624624514423
