,n_neighbors,score
0,1,5.012778853870192
1,2,2.6520975699488174
2,3,1.9309744874764212
3,4,1.6129608191357738
4,5,1.4285863245187278
5,6,1.2966313582265558
6,7,1.1212071898400786
7,8,0.9860739523358998
8,9,0.9442786556466816
9,10,0.9453111429202824
10,11,0.7716386654299624
11,12,0.6429637284495885
12,13,0.5559953493356592
13,14,0.4679174846250926
14,15,0.46985373010991144
15,16,0.47217764891435215
16,17,0.42846037280527227
17,18,0.42909353974763453
18,19,0.42836320077716605
19,20,0.42840725786637956
20,21,0.42738749373055623
21,22,0.34316571863783274
22,23,0.34290031546655975
23,24,0.3440649452689987
