,n_neighbors,score
0,1,4.116086386130319
1,2,2.4353100243507324
2,3,1.8884688640526004
3,4,1.7094836144839958
4,5,1.4395166441890217
5,6,1.3526612075074398
6,7,1.2662708825411066
7,8,1.044578040547737
8,9,1.047535608435873
9,10,1.0033080584475147
10,11,0.9632109994921413
11,12,0.8342038013937961
12,13,0.7933251605368281
13,14,0.7489675145598643
14,15,0.7060643982880942
15,16,0.6216499316575844
16,17,0.5793367473206664
17,18,0.5815985059245584
18,19,0.5371023586088023
19,20,0.4938758579010722
20,21,0.49460225142384645
21,22,0.40923411090192624
22,23,0.4114782447433938
23,24,0.41128818402151635
