,n_neighbors,score
0,1,5.7721907727378055
1,2,2.540618709392995
2,3,1.5929337669031944
3,4,1.1785358572615767
4,5,0.9578817773122322
5,6,0.9110336949760671
6,7,0.7750048158054161
7,8,0.6896647416862445
8,9,0.6492928255668969
9,10,0.5630328732329333
10,11,0.5652342209497937
11,12,0.5248098836439788
12,13,0.5269432548580478
13,14,0.4855883276709662
14,15,0.4863848254708853
15,16,0.486700484172881
16,17,0.4875058790267104
17,18,0.4873261381033877
18,19,0.4902575662505974
19,20,0.49151234213661876
20,21,0.44839338646948074
21,22,0.4491478918365142
22,23,0.44921063973051895
23,24,0.44891572004382846
