,C,score
0,0.40595959595959596,0.6732434016220985
1,0.1485858585858586,0.6730789353195173
2,0.99,0.6732114506872549
3,0.5346464646464646,0.6732828831884891
4,0.7326262626262626,0.6731852163807073
5,0.23767676767676768,0.6732322150596302
6,0.09909090909090908,0.6733933904421882
7,0.37626262626262624,0.6731431433593924
8,0.12878787878787878,0.6732410720084321
9,0.44555555555555554,0.6731189003189783
10,0.31686868686868686,0.6731116830037672
11,0.9306060606060605,0.6731361953782522
12,0.39606060606060606,0.6732167644096178
13,0.5841414141414141,0.6731705158986488
14,0.7425252525252525,0.6731094842743758
