,n_neighbors,score
0,1,9.463620072045453
1,2,5.222759941611064
2,3,3.5546002238281673
3,4,2.8317394969726415
4,5,2.340518605770438
5,6,1.8055581455714513
6,7,1.5856094432264287
7,8,1.5018960824494851
8,9,1.3166089031948136
9,10,1.2665531785763677
10,11,1.1802577817366307
11,12,1.0490545198271584
12,13,0.9639067696956053
13,14,0.8784080737057401
14,15,0.8379191598147827
15,16,0.6634708355495014
16,17,0.6655441893696011
17,18,0.6645844272003469
18,19,0.5760515433838759
19,20,0.5759746961552401
20,21,0.5306648943035851
21,22,0.5316200483467158
22,23,0.5304722323014716
23,24,0.5317296967001834
