,n_neighbors,score
0,1,4.588898460393331
1,2,2.6843518200926813
2,3,2.1384813878224618
3,4,1.731901302862644
4,5,1.6430010714171004
5,6,1.553692074432153
6,7,1.465184428393213
7,8,1.3789335744911255
8,9,1.285873136907359
9,10,1.2867715406280955
10,11,1.2897669039114257
11,12,1.244355799360758
12,13,1.2435282353382406
13,14,1.2429569499979238
14,15,1.2451155445122903
15,16,1.2475445426361775
16,17,1.160872200037926
17,18,1.1594782702905813
18,19,1.1174447420150813
19,20,1.1176495713170735
20,21,1.0748397301779866
21,22,1.0754318184992042
22,23,1.0745620800781623
23,24,1.0760312038188946
