,C,score
0,0.8613131313131313,0.35505525802754656
1,0.6138383838383838,0.3552131882159351
2,0.2673737373737374,0.35518505362837965
3,0.47525252525252526,0.3544355945637885
4,0.41585858585858587,0.35528872711149617
5,0.9702020202020202,0.35702006117161567
6,0.25747474747474747,0.3549717990168217
7,0.0198989898989899,0.354507937314938
8,0.9603030303030302,0.35489867383855106
9,0.29707070707070704,0.3552401890901011
10,0.6435353535353535,0.35531274152233877
11,0.9108080808080807,0.3548714717208352
12,0.7524242424242424,0.3545862508785671
13,0.43565656565656563,0.35699507855959584
14,0.32676767676767676,0.35484804413400367
