,nu,score
0,0.2772727272727273,0.6603048554532874
1,0.6534343434343434,5.393316691837128
2,0.25747474747474747,0.6611219599758408
3,0.46535353535353535,0.660321228977962
4,0.792020202020202,11.827680443360514
5,0.7425252525252525,9.280945843015674
6,0.8316161616161616,11.827680443360514
7,0.594040404040404,0.6599812023691042
8,0.9009090909090909,11.827680443360514
9,0.9009090909090909,11.827680443360514
10,0.9405050505050505,11.827680443360514
11,0.8613131313131313,11.827680443360514
12,0.594040404040404,
13,0.4851515151515151,
14,0.43565656565656563,
15,0.8514141414141414,
16,0.43565656565656563,
17,0.6237373737373737,
18,0.06939393939393938,
19,0.9603030303030302,
20,0.99,
21,0.19808080808080808,
22,0.30696969696969695,
23,0.6138383838383838,
24,0.8613131313131313,
25,0.1782828282828283,
26,0.9504040404040404,
27,0.6831313131313131,
28,0.059494949494949496,
29,0.8019191919191919,
30,0.98010101010101,
31,0.08919191919191918,
32,0.8415151515151514,
33,0.47525252525252526,
34,0.5049494949494949,
35,0.7623232323232323,
36,0.7326262626262626,
37,0.8613131313131313,
38,0.6336363636363637,
39,0.11888888888888888,
40,0.40595959595959596,
41,0.2772727272727273,
42,0.39606060606060606,
43,0.24757575757575756,
44,0.702929292929293,
45,0.5643434343434344,
46,0.039696969696969696,
47,0.36636363636363634,
48,0.9009090909090909,
49,0.6633333333333333,
