,n_neighbors,score
0,1,14.714843783079905
1,2,7.77488956857493
2,3,4.1137213316568495
3,4,2.7033789047261627
4,5,1.8100431250419062
5,6,1.1447130096599905
6,7,1.0990311478147825
7,8,0.9608688564974776
8,9,0.8241516681888595
9,10,0.6916147785749157
10,11,0.6885707398587853
11,12,0.6411814758756842
12,13,0.5986271419825163
13,14,0.5964423678100391
14,15,0.5895405314895407
15,16,0.5854743847282965
16,17,0.5810563111160832
17,18,0.5788897462748843
18,19,0.5766588936513685
19,20,0.5785670103187686
20,21,0.5765327991262441
21,22,0.5791077328528571
22,23,0.5755039855631982
23,24,0.5736358597130294
