,n_neighbors,score
0,1,12.1589401553493
1,2,6.146086828786778
2,3,3.4602253281195288
3,4,2.3837400038759147
4,5,1.57593725407784
5,6,1.1805329311290944
6,7,1.0109215883281222
7,8,0.9186972839992099
8,9,0.7408488811672304
9,10,0.6845544669367732
10,11,0.6363321840228215
11,12,0.6358478128860175
12,13,0.6358348897233241
13,14,0.6313817621265546
14,15,0.6329100225352925
15,16,0.6311206395369043
16,17,0.6309455557554479
17,18,0.6287380815432008
18,19,0.627364178199125
19,20,0.6254860828743225
20,21,0.5812107573809586
21,22,0.5772371488400335
22,23,0.5796953303585548
23,24,0.5833575646496473
