,eta,max_depth,n_estimators,reg_alpha,score
145,0.85575,20,46,0.3367,
146,1.01495,6,61,0.6831999999999999,
147,1.63185,4,184,0.5297499999999999,
148,0.31845,29,53,0.08919999999999999,
149,0.7264,2,142,0.09414999999999998,
150,1.6219000000000001,32,64,0.5000499999999999,
151,1.7214,19,140,0.48024999999999995,
152,1.0945500000000001,5,9,0.71785,
153,1.13435,30,105,0.07434999999999999,
154,0.019950000000000002,11,135,0.4159,
155,0.12940000000000002,17,237,0.28225,
156,1.9602000000000002,1,146,0.38125,
157,1.49255,22,87,0.0298,
158,0.8657,7,88,0.8415999999999999,
159,0.77615,34,215,0.39115,
160,0.0896,33,40,1.0,
161,0.21895000000000003,18,156,0.5693499999999999,
162,0.71645,12,106,0.30205,
163,1.7313500000000002,27,241,0.80695,
164,0.5970500000000001,24,202,0.5545,
165,1.3831,3,70,0.40599999999999997,
166,0.9751500000000001,16,155,0.5049999999999999,
167,0.87565,21,110,0.45549999999999996,
168,0.47765,13,244,0.024849999999999997,
169,0.3881,26,123,0.7821999999999999,
170,1.0050000000000001,20,27,0.21789999999999998,
171,1.2537500000000001,6,125,0.6881499999999999,
172,0.029900000000000003,4,121,0.2476,
173,1.8706500000000001,29,174,0.7772499999999999,
174,0.1095,2,159,0.42579999999999996,
175,0.26870000000000005,32,239,0.17335,
176,1.3433000000000002,19,208,0.8812,
177,1.47265,5,2,0.7227999999999999,
178,0.42790000000000006,30,93,0.7624,
179,1.65175,11,211,0.9802,
180,0.40800000000000003,17,29,0.6535,
181,0.7662,1,113,0.60895,
182,1.1244,22,71,0.9702999999999999,
183,0.8358500000000001,7,94,0.6930999999999999,
184,1.6617000000000002,34,172,0.0595,
185,1.2239,33,212,0.7277499999999999,
186,0.69655,18,181,0.14365,
187,1.5622,12,112,0.8316999999999999,
188,1.9801000000000002,27,131,0.31689999999999996,
189,0.01,24,173,0.3862,
190,1.19405,3,72,0.65845,
191,1.7811000000000001,16,153,0.6386499999999999,
192,1.33335,21,95,0.20304999999999998,
193,1.05475,13,169,0.34659999999999996,
194,1.31345,26,66,0.40104999999999996,
195,1.4826000000000001,20,96,0.5198499999999999,
196,0.9453,6,44,0.23274999999999998,
197,0.13935000000000003,4,149,0.9059499999999999,
198,0.5174500000000001,29,188,0.8910999999999999,
199,1.17415,2,236,0.22285,
