,eta,max_depth,n_estimators,reg_alpha,score
0,1.9204,32,56,0.2377,65.21241261451952
1,0.20900000000000002,19,190,0.27235,63.58841184146308
2,1.8408,5,138,0.18819999999999998,
3,1.5920500000000002,30,122,0.6139,
4,1.5721500000000002,11,180,0.39609999999999995,
5,1.9403000000000001,17,4,0.6436,
6,0.6766500000000001,1,11,0.8019999999999999,
7,0.44780000000000003,22,192,0.8613999999999999,
8,1.0448000000000002,7,12,0.92575,
9,1.61195,34,249,0.35155,
10,1.8905500000000002,33,14,0.9554499999999999,
11,1.35325,18,242,0.2773,
12,1.8010000000000002,12,175,0.06939999999999999,
13,1.6418000000000001,27,198,0.76735,
14,0.2886,24,157,0.5941,
15,0.9254,3,145,0.8218,
16,0.15925,16,89,0.18325,
17,0.3085,21,222,0.1981,
18,1.0249000000000001,13,127,0.7723,
19,0.45775000000000005,26,99,0.01495,
20,0.607,20,107,0.66835,
21,0.8259000000000001,6,164,0.9108999999999999,
22,0.7363500000000001,4,167,0.98515,
23,0.5672,29,229,0.53965,
24,1.9104500000000002,2,32,0.208,
25,0.34830000000000005,32,111,0.5841999999999999,
26,0.35825,19,186,0.64855,
27,1.07465,5,225,0.58915,
28,1.37315,30,30,0.4654,
29,1.1841000000000002,11,25,0.9009999999999999,
30,0.48760000000000003,17,118,0.7970499999999999,
31,1.5224,1,41,0.36145,
32,1.2637,22,26,0.11394999999999998,
33,0.24880000000000002,7,55,0.70795,
34,0.63685,34,189,0.37134999999999996,
35,0.7861,33,187,0.5247999999999999,
36,0.6667000000000001,18,130,0.46044999999999997,
37,0.55725,12,137,0.6732999999999999,
38,1.9005,27,161,0.16344999999999998,
39,0.19905,24,59,0.8119,
40,0.61695,3,126,0.09909999999999998,
41,0.8955500000000001,16,62,0.08424999999999999,
42,0.53735,21,10,0.1783,
43,0.37815000000000004,13,232,0.7129,
44,1.03485,26,248,0.6634,
45,0.6866000000000001,20,247,0.5347,
46,0.7562500000000001,6,193,0.9307,
47,0.7065,4,243,0.81685,
48,1.602,29,178,0.7425999999999999,
49,1.4229,2,147,0.7376499999999999,
50,0.9652000000000001,32,109,0.01,
51,0.5274000000000001,19,78,0.034749999999999996,
52,1.3234000000000001,5,37,0.2872,
53,1.77115,30,35,0.45054999999999995,
54,1.81095,11,52,0.29214999999999997,
55,0.18910000000000002,17,220,0.69805,
56,0.6567500000000001,1,73,0.86635,
57,0.27865,22,245,0.06445,
58,0.25875000000000004,7,74,0.3565,
59,1.5821,34,34,0.8465499999999999,
60,1.1443,33,5,0.9455499999999999,
61,0.3682,18,47,0.75745,
62,0.5473,12,91,0.604,
63,1.5522500000000001,27,38,0.9603999999999999,
64,0.07965,24,119,0.44065,
65,1.53235,3,7,0.307,
66,1.99005,16,85,0.1387,
67,0.9055000000000001,21,58,0.87625,
68,1.2438,13,206,0.5742999999999999,
69,0.5075000000000001,26,179,0.6782499999999999,
70,0.57715,20,83,0.4456,
71,1.204,6,18,0.47529999999999994,
72,0.3284,4,160,0.21295,
73,1.4428,29,98,0.5099499999999999,
74,1.7114500000000001,2,228,0.8366499999999999,
75,1.51245,32,50,0.43074999999999997,
76,1.4627000000000001,19,204,0.8564499999999999,
77,0.0697,5,13,0.9208,
78,1.7512500000000002,30,231,0.9158499999999999,
79,1.5423,11,76,0.59905,
80,1.8806,17,24,0.34164999999999995,
81,1.67165,1,170,0.7326999999999999,
82,1.4129500000000002,22,177,0.4951,
83,1.3632000000000002,7,221,0.26244999999999996,
84,0.9851000000000001,34,176,0.5644,
85,0.5871000000000001,33,224,0.47035,
86,0.39805,18,230,0.26739999999999997,
87,2.0,12,90,0.7525,
88,1.79105,27,124,0.5148999999999999,
89,0.8159500000000001,24,185,0.8861499999999999,
90,1.7413,3,194,0.7475499999999999,
91,1.1045,16,196,0.6336999999999999,
92,0.806,21,233,0.37629999999999997,
93,0.8458000000000001,13,165,0.32184999999999997,
94,1.1144500000000002,26,77,0.33175,
95,1.1642000000000001,20,144,0.48519999999999996,
96,1.95025,6,200,0.0397,
97,1.2338500000000001,4,69,0.8960499999999999,
98,0.79605,29,79,0.11889999999999999,
99,0.4677,2,197,0.9405999999999999,
100,1.83085,32,226,0.25749999999999995,
101,0.41795000000000004,19,104,0.10899999999999999,
102,0.039850000000000003,5,22,0.9504999999999999,
103,0.93535,30,8,0.19315,
104,1.45275,11,20,0.25255,
105,1.29355,17,19,0.31195,
106,0.95525,1,166,0.0793,
107,1.4328500000000002,22,136,0.1585,
108,0.09955,7,63,0.9653499999999999,
109,0.9950500000000001,34,17,0.7871499999999999,
110,0.33835000000000004,33,191,0.2971,
111,0.9154500000000001,18,134,0.54955,
112,0.22890000000000002,12,39,0.7920999999999999,
113,1.8209000000000002,27,205,0.8713,
114,1.7612,24,195,0.55945,
115,1.8507500000000001,3,45,0.5792499999999999,
116,1.7015,16,75,0.6237999999999999,
117,0.17915000000000003,21,67,0.04465,
118,1.6816000000000002,13,150,0.1288,
119,1.15425,26,216,0.49015,
120,0.8856,20,133,0.9950499999999999,
121,0.049800000000000004,6,246,0.36639999999999995,
122,1.5025000000000002,4,48,0.0199,
123,1.69155,29,1,0.4357,
124,1.2736500000000002,2,152,0.9356499999999999,
125,0.23885,32,218,0.0496,
126,0.14930000000000002,19,101,0.6287499999999999,
127,0.059750000000000004,5,114,0.6188499999999999,
128,0.11945,30,120,0.703,
129,1.3035,11,115,0.9900999999999999,
130,0.16920000000000002,17,162,0.3268,
131,0.29855000000000004,1,213,0.1486,
132,1.0846,22,15,0.5446,
133,1.403,7,158,0.10404999999999999,
134,0.6269,34,31,0.15355,
135,0.43785,33,203,0.24264999999999998,
136,1.0647,18,238,0.41095,
137,1.2836,12,103,0.12384999999999999,
138,0.6468,27,207,0.1684,
139,1.93035,24,43,0.97525,
140,1.97015,3,240,0.054549999999999994,
141,1.8607,16,214,0.8514999999999999,
142,1.21395,21,168,0.2278,
143,0.49755000000000005,13,60,0.13374999999999998,
144,1.3930500000000001,26,28,0.42084999999999995,
