,n_neighbors,score
0,1,4.116086386130319
1,2,2.2602455153750998
2,3,2.0364238960934107
3,4,1.8491519550747852
4,5,1.534144453200214
5,6,1.4001470530483477
6,7,1.3551255766318677
7,8,1.3128028274709733
8,9,1.2685785941585783
9,10,1.1818156923949548
10,11,1.0061430579562305
11,12,0.9215121246380878
12,13,0.8341284117686222
13,14,0.8358119978661653
14,15,0.7946917371348593
15,16,0.7094958996153705
16,17,0.6679405299251431
17,18,0.5818495221705192
18,19,0.5385226571706747
19,20,0.5375128566111186
20,21,0.5364716865291701
21,22,0.5348937756810105
22,23,0.5354138731943997
23,24,0.4929722385566942
