,nu,score
0,0.0198989898989899,0.6604420716630006
1,0.32676767676767676,0.6604893508325241
2,0.702929292929293,0.6028739015504493
3,0.40595959595959596,0.6608576401348302
4,0.6237373737373737,0.6277912143870936
5,0.9306060606060605,
6,0.30696969696969695,0.6602134639861753
7,0.99,
8,0.5841414141414141,0.6597271768905965
9,0.33666666666666667,0.6599456818251662
10,0.6336363636363637,0.6277705593800152
11,0.01,0.6603414620578858
12,0.9702020202020202,
13,0.23767676767676768,0.6603481431489824
14,0.7524242424242424,0.6031764849276574
