,nu,score
0,0.7524242424242424,0.6330452185464468
1,0.891010101010101,
2,0.12878787878787878,0.6719374506783587
3,0.8415151515151514,
4,0.99,
5,0.19808080808080808,0.6719859135382604
6,0.6831313131313131,0.6547423807901087
7,0.495050505050505,0.6721496076795453
8,0.8019191919191919,0.6334678214154608
9,0.24757575757575756,0.672192838465084
10,0.5445454545454546,0.6722507926304001
11,0.36636363636363634,0.6720798264159112
12,0.25747474747474747,0.6721140996902691
13,0.039696969696969696,0.6719670646570574
14,0.25747474747474747,0.6720416372711187
