,n_neighbors,score
0,1,5.487726834834187
1,2,2.856619116444311
2,3,2.0487283274211
3,4,1.6888455745952697
4,5,1.4257260183526717
5,6,1.3872232117116443
6,7,1.0742682583816827
7,8,0.8947264142785113
8,9,0.8101056864909446
9,10,0.7665684889979278
10,11,0.6387709265501013
11,12,0.5523440441502718
12,13,0.5558522966604065
13,14,0.5561400293418971
14,15,0.5523912941310952
15,16,0.5082299704532245
16,17,0.4661507388015977
17,18,0.46635373386667284
18,19,0.38105418977352823
19,20,0.2979771592028496
20,21,0.29766568159041157
21,22,0.29968649077922077
22,23,0.3002486511344113
23,24,0.3022211086421124
