,n_neighbors,score
0,1,13.389804935124756
1,2,6.416645651298192
2,3,3.6649387047440736
3,4,2.3525719070462956
4,5,1.7241571771721735
5,6,1.1875789949411066
6,7,0.9220455941748259
7,8,0.8420923614639113
8,9,0.7456517716687298
9,10,0.6600337221755569
10,11,0.657764005436292
11,12,0.6559326130650315
12,13,0.6527002439365909
13,14,0.6506937924555088
14,15,0.6486091420109669
15,16,0.6490066143810398
16,17,0.6490864340328049
17,18,0.6491574260243843
18,19,0.6504221295582245
19,20,0.6476776835817517
20,21,0.6462788031375196
21,22,0.6448666327632442
22,23,0.6438862567890958
23,24,0.6445914221586865
