,n_neighbors,score
0,1,13.343591681048947
1,2,6.723257540359452
2,3,4.169804021688603
3,4,2.7764177695221552
4,5,2.067157807794916
5,6,1.6783181785966612
6,7,1.499647318631007
7,8,1.3215634460048744
8,9,1.1382938684141597
9,10,0.915918257872737
10,11,0.9099100608571327
11,12,0.8108298384908794
12,13,0.8109080631827768
13,14,0.8142955963484684
14,15,0.7675460744899426
15,16,0.7653551743444512
16,17,0.7189560368489261
17,18,0.6738029126277886
18,19,0.6303541013131325
19,20,0.6259346281504897
20,21,0.584858105031612
21,22,0.5831049524721722
22,23,0.5820455889983857
23,24,0.5820207368400695
