,n_neighbors,score
0,1,5.867335707599767
1,2,2.918682552571768
2,3,2.0609270383320086
3,4,1.788570698101146
4,5,1.4223267996439128
5,6,1.253030286067888
6,7,1.2072627418037216
7,8,0.8091725580505366
8,9,0.7604746160941174
9,10,0.7200702835643072
10,11,0.6352972343228033
11,12,0.5940752821773935
12,13,0.5512192827304551
13,14,0.5483366051847038
14,15,0.5036697766590623
15,16,0.4616402963563866
16,17,0.4171395599692586
17,18,0.41711953754783576
18,19,0.4185702631938604
19,20,0.4174798438219245
20,21,0.41743538914265416
21,22,0.41821657132701945
22,23,0.4175143632289256
23,24,0.4173586434424114
