,n_neighbors,score
0,1,12.723207871081668
1,2,7.033244390655059
2,3,4.2460373439682755
3,4,3.1324009562672948
4,5,2.1928200581848
5,6,1.5755380284489364
6,7,1.2749167633681981
7,8,1.006896993536353
8,9,0.9094414262012279
9,10,0.8179665361119035
10,11,0.8159832475840059
11,12,0.6850894370820466
12,13,0.6829675338422865
13,14,0.6347830361132566
14,15,0.6285682401466435
15,16,0.6226336298921825
16,17,0.6217443472055971
17,18,0.6185002966077889
18,19,0.6200656043758994
19,20,0.61697443313655
20,21,0.6181063502850624
21,22,0.6196544049830922
22,23,0.6187001375412392
23,24,0.6141415714659247
