,C,score
0,0.792020202020202,0.2825984951428394
1,0.5643434343434344,0.28138276887220376
2,0.18818181818181817,0.2819805283959161
3,0.46535353535353535,0.2818886600811535
4,0.2871717171717172,0.2822682203271818
5,0.495050505050505,0.2823920077334396
6,0.6534343434343434,0.28156282717910097
7,0.5544444444444444,0.2818610521028435
8,0.8019191919191919,0.28160855722565137
9,0.9306060606060605,0.2831252850986327
10,0.1485858585858586,0.28191919756689593
11,0.9702020202020202,0.28239386746648515
12,0.702929292929293,0.2817937757706077
13,0.5148484848484849,0.28103372779523356
14,0.07929292929292929,0.2820146472224735
