,n_neighbors,score
0,1,3.9275440764344736
1,2,2.2511412574704117
2,3,1.9294544038205688
3,4,1.8858735017593407
4,5,1.7530861419549535
5,6,1.6193576836351724
6,7,1.3968486207727946
7,8,1.2641935778539912
8,9,1.266635780569591
9,10,1.2233923618859475
10,11,1.094695657122123
11,12,1.0527728225565764
12,13,1.0107243913914354
13,14,1.011603891914824
14,15,0.9241936107912357
15,16,0.8810629808531244
16,17,0.8831995823448414
17,18,0.8409588258222568
18,19,0.7983099814688618
19,20,0.7126346287054611
20,21,0.6694497618639607
21,22,0.6279687951608367
22,23,0.5856584922814997
23,24,0.5840527606706419
